question,category,law,answer,severity,action
Can fake colleges operate legally?,Fraud,AICTE Act,"No. Under AICTE Act, No, illegal. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students get refund of fees?,Fees,UGC Refund Policy,"Yes. Under UGC Refund Policy, Yes, under conditions. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can a teacher hit a student?,Safety,RTE Act,"No. Under RTE Act, No, illegal. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Is mental harassment covered by law?,Harassment,IPC,"Yes. Under IPC, Yes. File a complaint with the internal complaints committee (icc) or authorities; if it is criminal, lodge an fir.",High,FIR/Complaint
Can students access library freely?,Facilities,College Rules,"Yes. Under College Rules, Yes, as per policy. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can schools deny mid-day meal?,Welfare,Govt Scheme,"No. Under Govt Scheme, No. Use institutional grievance systems and relevant government schemes for relief.",Low,Complaint
Is caste-based bullying punishable?,Discrimination,SC/ST Act,"Yes. Under SC/ST Act, Yes, strict punishment. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can exams be leaked legally?,Crime,IPC,"No. Under IPC, No, criminal offense. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a college remove a student unfairly?,Discipline,UGC,"No. Under UGC, No, due process needed. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can attendance be manipulated?,Exams,UGC,"Under UGC, Illegal if proven. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student sue a college?,Legal,Consumer Law,"Yes. Under Consumer Law, Yes. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Is scholarship fraud punishable?,Fraud,IPC,"Yes. Under IPC, Yes. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can teachers force private tuition?,Ethics,Education Law,"No. Under Education Law, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can schools deny admission for disability?,Inclusion,RPWD Act,"No. Under RPWD Act, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can hostel rules violate rights?,Rights,Constitution,"No. Under Constitution, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can exam papers be rechecked?,Exams,University Rules,"Yes. Under University Rules, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can students change stream freely?,Academics,Board Rules,"Under Board Rules, Depends. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college deny ID card?,Admin,UGC,"No. Under UGC, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can fees increase suddenly?,Fees,UGC,"No. Under UGC, Notice required. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can student unions exist legally?,Politics,Article 19,"Yes. Under Article 19, Yes. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students be forced to attend events?,Rights,Constitution,"No. Under Constitution, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can ragging lead to FIR?,Ragging,IPC,"Yes. Under IPC, Yes. Report immediately to the anti-ragging committee/helpline and the college authorities; serious cases can be reported to the police.",High,FIR/Complaint
Can a school deny results?,Exams,Education Law,"No. Under Education Law, No. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can digital exams be unfair?,Exams,UGC,"Under UGC, Can be challenged. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a college deny admission after giving confirmation?,Admission,UGC Guidelines,"No. Under UGC Guidelines, No, once confirmed, admission cannot be arbitrarily denied. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can a school force students to buy books from specific shops?,Fees,RTE Act,"No. Under RTE Act, No, it is illegal to force purchases. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Is biometric attendance mandatory?,Attendance,Institutional Policy,"Yes. Under Institutional Policy, Yes, if notified officially. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can students be punished for social media posts?,Freedom,Article 19,"Under Article 19, Only if content violates law. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a college delay issuing migration certificate?,Documents,UGC,"No. Under UGC, No, it must be issued timely. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can practical marks be manipulated?,Exams,UGC,"No. Under UGC, No, it's illegal and punishable. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student be denied hall ticket?,Exams,University Rules,"Under University Rules, Only for valid reasons like low attendance. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Is forcing students to attend religious events legal?,Freedom,Article 25,"No. Under Article 25, No, freedom of religion must be respected. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a college change exam pattern suddenly?,Exams,UGC,"Under UGC, Must give prior notice. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can teachers check personal phones?,Privacy,IT Act,"No. Under IT Act, No, without consent. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can a student be expelled for low marks?,Academics,Education Law,"No. Under Education Law, No, academic failure alone is not a reason. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can colleges restrict dress beyond rules?,Discipline,Constitution,"Under Constitution, Restrictions must be reasonable. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Is proxy attendance illegal?,Discipline,University Rules,"Yes. Under University Rules, Yes, considered misconduct. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student be denied internship certificate?,Career,University Rules,"No. Under University Rules, No, if work is completed. Use placement/grievance cells; escalate to regulators for unfair practices.",Low,Complaint
Can colleges publish student data publicly?,Privacy,IT Act,"No. Under IT Act, No, without consent. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can schools refuse to admit EWS students?,Admission,RTE Act,"No. Under RTE Act, No, 25% seats reserved. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can exam results be changed without notice?,Exams,UGC,"No. Under UGC, No, transparency required. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student complain anonymously?,Legal,UGC,"Yes. Under UGC, Yes, in some cases. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a teacher threaten students with marks?,Harassment,IPC,"No. Under IPC, No, punishable. File a complaint with the internal complaints committee (icc) or authorities; if it is criminal, lodge an fir.",High,FIR/Complaint
Can colleges demand original documents permanently?,Documents,UGC,"No. Under UGC, No, only temporary submission allowed. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can a student skip classes legally?,Attendance,University Rules,"Under University Rules, Depends on attendance policy. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can unfair means in exam lead to jail?,Exams,IPC,"Yes. Under IPC, Yes, in serious fraud cases. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can college WiFi usage be monitored?,Privacy,IT Policy,"Yes. Under IT Policy, Yes, with policy disclosure. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can a student refuse assignments?,Academics,University Rules,"No. Under University Rules, No, part of curriculum. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can teachers discriminate in grading?,Equality,Article 14,"No. Under Article 14, No, illegal. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can schools conduct surprise tests?,Exams,School Policy,"Yes. Under School Policy, Yes, if allowed in rules. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student challenge suspension legally?,Discipline,Court Law,"Yes. Under Court Law, Yes, through legal process. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can colleges restrict entry after time?,Discipline,College Rules,"Yes. Under College Rules, Yes, for security reasons. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student record harassment secretly?,Evidence,IT Act,"Yes. Under IT Act, Yes, for proof in many cases. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can fake attendance records be challenged?,Exams,UGC,"Yes. Under UGC, Yes, legally. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can schools deny sports participation?,Activities,Education Policy,"No. Under Education Policy, No, must encourage. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student demand fee breakdown?,Fees,UGC,"Yes. Under UGC, Yes, transparency required. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can a college cancel admission for late fee?,Fees,UGC,"Under UGC, Only if policy exists. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can teachers assign punishment work?,Discipline,Education Rules,"Under Education Rules, Must not be abusive. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can students access CCTV footage?,Privacy,IT Act,"Under IT Act, Only with permission. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can colleges ban student protests?,Freedom,Article 19,"Under Article 19, Only reasonable restrictions allowed. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can attendance rules differ by subject?,Academics,University Rules,"Yes. Under University Rules, Yes. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a student file RTI against college?,Legal,RTI Act,"Yes. Under RTI Act, Yes, for govt institutions. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can scholarships be delayed legally?,Finance,Govt Rules,"No. Under Govt Rules, No, must be timely. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a college refuse refund after withdrawal?,Fees,UGC Refund Policy,"Under UGC Refund Policy, Depends on timeline. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can students be forced to join clubs?,Rights,Constitution,"No. Under Constitution, No. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a school deny ID replacement?,Admin,School Rules,"No. Under School Rules, No, must provide. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can examiners be biased?,Exams,UGC,"No. Under UGC, No, illegal. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can students challenge question paper errors?,Exams,University Rules,"Yes. Under University Rules, Yes. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can college buses be unsafe legally?,Safety,Motor Vehicle Act,"No. Under Motor Vehicle Act, No, safety is mandatory. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can hostel fees be increased suddenly?,Fees,UGC,"No. Under UGC, Notice required. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can students refuse viva exams?,Academics,University Rules,"No. Under University Rules, No. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a student demand re-evaluation twice?,Exams,University Rules,"Under University Rules, Depends on policy. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can institutions deny disability support?,Inclusion,RPWD Act,"No. Under RPWD Act, No, illegal. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student be punished for late submission?,Academics,College Rules,"Yes. Under College Rules, Yes, if policy exists. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college cancel classes without notice?,Academics,UGC Guidelines,"No. Under UGC Guidelines, No, proper communication is required. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can students be forced to pay for events?,Fees,UGC,"No. Under UGC, No, participation must be voluntary. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can a school deny exam entry due to uniform issues?,Discipline,School Rules,"Under School Rules, Only if clearly stated and reasonable. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student challenge internal marks?,Exams,University Rules,"Yes. Under University Rules, Yes, through re-evaluation or grievance. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can teachers assign marks unfairly?,Equality,Article 14,"No. Under Article 14, No, it violates equality rights. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can colleges keep students' certificates as security?,Documents,UGC,"No. Under UGC, No, illegal practice. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can students demand digital copies of certificates?,Documents,IT Act,"Yes. Under IT Act, Yes, if available. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Can a college deny hostel exit?,Freedom,Constitution,"No. Under Constitution, No, unless safety reasons. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students be penalized for group fights?,Discipline,IPC,"Yes. Under IPC, Yes, based on involvement. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student be rusticated without proof?,Discipline,Natural Justice,"No. Under Natural Justice, No, evidence required. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a teacher refuse to teach a student?,Academics,Education Law,"No. Under Education Law, No, duty to teach. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college restrict internet access?,Facilities,IT Policy,"Yes. Under IT Policy, Yes, within policy limits. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can exams be rescheduled without consent?,Exams,UGC,"Yes. Under UGC, Yes, but with notice. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student request change of section?,Academics,College Rules,"Under College Rules, Depends on availability. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college deny placement opportunity?,Career,UGC,"No. Under UGC, No unfair discrimination allowed. Use placement/grievance cells; escalate to regulators for unfair practices.",Low,Complaint
Can a student be punished for political views?,Freedom,Article 19,"No. Under Article 19, No, unless unlawful acts. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can schools inspect student bags?,Safety,School Policy,"Yes. Under School Policy, Yes, for security reasons. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can students refuse biometric data collection?,Privacy,IT Act,"Yes. Under IT Act, Yes, in some cases. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can attendance be waived for medical reasons?,Attendance,University Rules,"Yes. Under University Rules, Yes, with proof. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can a college impose fines without receipt?,Fees,UGC,"No. Under UGC, No, must provide proof. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can students be denied library access for fines?,Facilities,College Rules,"Yes. Under College Rules, Yes, temporarily. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can a student file FIR against teacher?,Legal,IPC,"Yes. Under IPC, Yes, for criminal acts. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a school restrict hairstyles?,Discipline,School Policy,"Yes. Under School Policy, Yes, if reasonable. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can colleges monitor emails?,Privacy,IT Policy,"Under IT Policy, Only official emails. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can students get fee concession legally?,Finance,Govt Rules,"Yes. Under Govt Rules, Yes, if eligible. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student withdraw admission anytime?,Admission,UGC,"Yes. Under UGC, Yes, with refund rules. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can examiners disclose answer sheets publicly?,Privacy,IT Act,"No. Under IT Act, No, confidentiality required. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can a college delay convocation?,Certification,UGC,"Yes. Under UGC, Yes, but reasonable delay only. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student be punished for prank?,Discipline,IPC,"Yes. Under IPC, Yes, if harmful. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a school deny re-admission?,Admission,Education Law,"Under Education Law, Only for valid reasons. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can a student refuse to participate in surveys?,Privacy,IT Act,"Yes. Under IT Act, Yes. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can colleges collect biometric attendance data legally?,Privacy,IT Act,"Yes. Under IT Act, Yes, with consent. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can a student challenge attendance shortage?,Attendance,UGC,"Yes. Under UGC, Yes, if incorrect. Submit valid documents (medical etc.) and request condonation as per rules.",Low,Complaint
Can a college impose dress fines?,Discipline,UGC,"Under UGC, Only if policy exists. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can schools ban mobile phones?,Discipline,School Policy,"Yes. Under School Policy, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can students use RTI for marks verification?,Legal,RTI Act,"Yes. Under RTI Act, Yes. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can teachers assign extra homework as punishment?,Discipline,Education Rules,"Under Education Rules, Must not be excessive. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a college deny access to labs?,Facilities,UGC,"No. Under UGC, No, if enrolled. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
Can a student record online classes?,Privacy,IT Act,"Under IT Act, Only with permission. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can a school expel student for misconduct?,Discipline,Education Law,"Yes. Under Education Law, Yes, with due process. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student appeal against expulsion?,Legal,Court Law,"Yes. Under Court Law, Yes. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a college restrict social gatherings?,Discipline,College Policy,"Yes. Under College Policy, Yes, for safety. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can students demand mental health support?,Welfare,UGC,"Yes. Under UGC, Yes, institutions must support. Use institutional grievance systems and relevant government schemes for relief.",Low,Complaint
Can a student refuse viva questions?,Exams,University Rules,"No. Under University Rules, No. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can teachers skip syllabus?,Academics,UGC,"No. Under UGC, No. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a college deny sports quota benefits?,Admission,Sports Policy,"No. Under Sports Policy, No. Seek written reasons and use the grievance redressal mechanism; escalate to the regulator if required.",Low,Grievance/Appeal
Can students be punished for late entry?,Discipline,College Rules,"Yes. Under College Rules, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can a student take gap year legally?,Academics,UGC,"Yes. Under UGC, Yes. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Can a school deny exam admit card?,Exams,Education Law,"Under Education Law, Only for valid reasons. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can colleges charge for ID cards?,Fees,UGC,"Yes. Under UGC, Yes, reasonable charges. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can a student be punished for cheating rumor?,Discipline,Natural Justice,"No. Under Natural Justice, No proof required. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can exam results be withheld for discipline?,Exams,UGC,"No. Under UGC, No, unrelated issues. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can colleges conduct surprise inspections?,Discipline,College Policy,"Yes. Under College Policy, Yes. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can students demand safe drinking water?,Safety,Public Health Law,"Yes. Under Public Health Law, Yes. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can a school deny sanitation facilities?,Safety,RTE Act,"No. Under RTE Act, No. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can a college restrict library timing?,Facilities,College Policy,"Yes. Under College Policy, Yes. Raise a written complaint with administration; escalate if unresolved.",Low,Complaint
